-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  22.0   longitude 43.7 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1020.24 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,16.64,26.12,10.33,22.44,1.99
2015,1,2,14.99,24.41,7.27,32.58,2.3
2015,1,3,14.7,25.02,6.5,30.02,2.56
2015,1,4,15.54,25.64,7.04,21.11,2.12
2015,1,5,16.27,26.16,7.87,30.68,2.2
2015,1,6,16.47,25.53,8.87,26.35,4.55
2015,1,7,17.25,25.63,9.4,37.75,2.74
2015,1,8,15.01,21.67,9.98,35.86,3.05
2015,1,9,14.87,21.91,9.6,32.95,5.25
2015,1,10,11.19,17.09,6.74,41.88,4.17
2015,1,11,11.4,20.02,3.68,32.69,3.49
2015,1,12,12.54,19.99,6.07,38.82,4.13
2015,1,13,11.78,17.77,6.97,31.21,5.46
2015,1,14,13.72,20.95,7.34,28.42,4.84
2015,1,15,16.78,24.47,10.64,29.39,4.91
2015,1,16,18.06,25.66,10.77,22.39,3.12
2015,1,17,18.72,25.4,11.85,31.04,2.19
2015,1,18,17.07,24.25,9.75,29.92,4.6
2015,1,19,10.47,17.21,4.33,44.51,2.65
2015,1,20,11.3,19.38,3.24,24.95,1.79
2015,1,21,11.72,20.75,4.21,17.48,2.11
2015,1,22,11.94,21.44,3.73,14.69,2.63
2015,1,23,12.62,22.54,3.42,13.57,2.25
2015,1,24,13.96,24.87,5.23,11.79,2.67
2015,1,25,13.92,23.06,6.41,11.93,4.14
2015,1,26,13.19,22.71,5.52,14.47,5.0
2015,1,27,14.34,25.28,5.82,16.89,4.08
2015,1,28,16.06,27.28,7.84,17.4,4.53
2015,1,29,17.93,28.94,9.09,20.36,2.86
2015,1,30,20.81,31.66,11.97,18.37,3.05
2015,1,31,21.37,30.67,12.51,21.66,1.41
2015,2,1,20.21,29.4,12.14,15.46,3.39
2015,2,2,17.35,25.74,10.41,32.72,4.65
2015,2,3,18.55,27.98,10.34,24.68,4.48
