-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  22.3   longitude 42.9 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 941.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,16.35,26.26,8.77,22.29,2.25
2015,1,2,15.38,24.55,7.35,28.82,2.28
2015,1,3,14.9,25.08,6.71,29.47,2.57
2015,1,4,16.39,25.53,7.7,33.92,2.04
2015,1,5,16.33,24.49,8.97,46.03,1.9
2015,1,6,16.62,26.43,8.78,24.29,3.72
2015,1,7,17.44,25.21,10.11,42.03,1.77
2015,1,8,13.98,19.93,8.9,33.66,3.15
2015,1,9,15.16,24.31,8.82,30.62,4.62
2015,1,10,11.08,17.34,6.23,43.24,3.93
2015,1,11,11.33,20.15,3.2,32.57,3.07
2015,1,12,12.79,21.0,5.2,40.71,3.41
2015,1,13,12.95,18.87,7.69,31.7,5.14
2015,1,14,15.07,22.17,8.01,28.11,4.5
2015,1,15,17.74,24.7,11.63,30.07,3.76
2015,1,16,18.5,25.34,10.84,33.25,2.17
2015,1,17,17.94,24.81,10.4,24.22,2.27
2015,1,18,16.0,23.11,9.44,26.0,4.02
2015,1,19,10.64,17.08,4.49,41.67,2.39
2015,1,20,11.24,19.55,3.4,25.23,2.12
2015,1,21,11.71,20.91,3.68,16.45,2.32
2015,1,22,12.4,21.68,3.83,14.46,2.49
2015,1,23,13.03,22.68,3.4,13.44,2.32
2015,1,24,13.99,24.94,5.36,11.89,2.57
2015,1,25,14.37,24.48,5.98,11.67,3.75
2015,1,26,13.32,23.61,5.0,14.0,4.5
2015,1,27,14.2,25.77,4.91,16.53,3.45
2015,1,28,15.91,27.91,6.75,17.49,3.62
2015,1,29,17.84,28.98,7.97,19.74,2.15
2015,1,30,20.89,31.3,11.36,23.7,1.86
2015,1,31,21.16,29.95,11.94,43.63,1.57
2015,2,1,20.38,30.21,12.59,22.6,3.25
2015,2,2,17.82,27.02,9.95,29.96,4.19
2015,2,3,18.76,28.02,9.95,24.88,3.22
2015,2,4,20.11,28.93,11.98,17.06,2.08
2015,2,5,19.87,29.52,12.25,16.75,2.99
2015,2,6,19.47,28.61,11.58,17.36,3.69
2015,2,7,19.53,30.02,10.78,15.92,4.58
2015,2,8,20.56,31.12,11.49,21.0,3.55
2015,2,9,22.31,30.11,15.27,28.76,1.74
2015,2,10,22.97,31.15,15.52,26.15,1.86
2015,2,11,22.67,31.82,15.51,36.8,2.33
2015,2,12,21.82,28.66,16.09,52.31,1.95
2015,2,13,21.82,29.61,13.9,27.98,3.07
2015,2,14,19.51,26.68,14.03,18.51,2.97
2015,2,15,19.6,27.93,11.42,15.87,1.57
2015,2,16,21.6,29.75,13.89,28.38,3.27
2015,2,17,22.65,31.13,13.12,21.79,1.85
2015,2,18,22.45,30.62,14.06,41.54,2.16
2015,2,19,22.53,32.48,14.63,53.07,4.45
2015,2,20,19.17,26.23,13.13,44.46,6.9
2015,2,21,13.01,19.91,6.9,33.17,4.39
2015,2,22,13.05,20.13,7.14,34.0,3.86
