-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  23.85   longitude 40.95 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 933.71 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,18.1,28.48,9.7,30.34,3.9
2015,1,2,18.41,29.0,9.96,18.84,3.06
2015,1,3,18.51,30.17,9.28,24.44,2.65
2015,1,4,17.38,27.03,9.99,53.79,3.63
2015,1,5,15.44,24.11,8.02,49.14,1.92
2015,1,6,16.59,26.63,9.31,36.95,3.39
2015,1,7,15.19,24.21,8.79,56.39,3.31
2015,1,8,11.27,18.38,4.67,40.94,2.61
2015,1,9,12.08,20.6,4.08,32.65,4.15
2015,1,10,9.02,15.56,3.73,43.56,3.69
2015,1,11,8.92,19.77,0.11,21.08,3.17
2015,1,12,10.3,19.05,2.28,23.03,4.94
2015,1,13,13.67,21.5,6.14,33.33,5.3
2015,1,14,18.01,25.98,12.02,34.32,4.97
2015,1,15,18.2,26.09,12.02,47.27,3.24
2015,1,16,15.04,25.43,7.11,32.65,2.45
2015,1,17,13.04,22.93,4.36,23.62,1.95
2015,1,18,12.17,19.71,5.7,32.0,2.92
2015,1,19,9.89,18.17,3.08,40.44,2.64
2015,1,20,11.32,21.63,2.74,24.43,2.57
2015,1,21,12.69,23.06,4.15,14.78,3.13
2015,1,22,13.88,24.59,5.03,12.77,3.1
2015,1,23,15.72,26.86,6.49,11.56,2.55
2015,1,24,17.43,27.52,9.1,9.31,3.23
2015,1,25,17.26,26.52,9.5,9.78,4.8
2015,1,26,15.75,27.06,7.16,9.95,4.84
2015,1,27,18.34,30.39,9.41,15.1,3.21
2015,1,28,19.38,31.53,9.45,23.96,3.59
2015,1,29,20.8,31.54,12.69,55.78,3.13
2015,1,30,21.16,31.77,13.9,59.39,3.53
2015,1,31,20.93,31.0,13.85,54.97,1.73
2015,2,1,21.0,29.93,12.83,37.96,3.17
2015,2,2,20.25,30.23,13.05,19.83,4.99
2015,2,3,20.79,30.07,11.93,27.18,2.58
2015,2,4,21.43,30.5,14.7,37.17,1.47
2015,2,5,21.84,31.45,13.43,17.3,2.49
2015,2,6,21.49,31.6,12.51,16.05,2.82
2015,2,7,22.79,33.31,13.47,19.84,3.98
2015,2,8,22.1,32.11,14.35,42.71,4.64
2015,2,9,21.5,31.0,13.53,54.0,3.63
2015,2,10,22.1,31.94,14.48,52.6,4.09
2015,2,11,21.08,29.85,14.65,59.56,5.47
2015,2,12,18.04,26.24,11.07,26.94,2.84
2015,2,13,16.77,27.53,8.3,25.98,3.34
2015,2,14,16.2,25.52,7.95,23.33,2.13
2015,2,15,20.02,28.95,11.67,22.23,1.72
2015,2,16,21.26,30.93,13.04,28.54,2.98
2015,2,17,22.32,32.05,14.92,35.73,2.63
2015,2,18,21.86,31.5,14.12,57.93,3.47
2015,2,19,20.76,29.82,14.51,55.95,5.61
2015,2,20,14.87,22.68,8.87,46.09,6.95
2015,2,21,11.66,19.55,3.76,44.02,4.81
2015,2,22,12.04,19.58,6.34,39.03,4.0
2015,2,23,13.85,23.1,5.36,21.36,4.45
2015,2,24,18.0,28.87,8.31,17.42,4.66
2015,2,25,21.85,31.89,13.2,38.24,4.3
2015,2,26,20.41,27.88,14.55,35.08,4.98
2015,2,27,18.67,27.98,10.65,20.13,4.42
2015,2,28,20.9,31.46,11.01,13.42,2.93
2015,3,1,23.93,34.15,14.35,15.11,3.63
2015,3,2,23.64,34.01,13.98,21.64,2.51
2015,3,3,24.33,34.14,15.21,21.31,2.55
2015,3,4,22.6,32.07,14.01,23.89,2.27
2015,3,5,21.76,30.95,12.97,20.76,4.0
2015,3,6,21.14,27.85,14.98,36.36,5.65
2015,3,7,22.0,30.56,13.27,36.62,6.12
2015,3,8,24.25,33.18,16.41,31.45,4.68
