-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  31.3   longitude 40.0 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 779.28 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,10.72,20.1,3.94,45.46,2.84
2015,1,2,8.34,13.39,4.82,59.31,3.0
2015,1,3,8.47,15.23,2.52,63.73,1.56
2015,1,4,6.84,12.25,3.18,74.68,3.32
2015,1,5,6.42,13.57,2.31,70.27,3.26
2015,1,6,7.32,16.47,0.61,49.63,4.01
2015,1,7,6.09,11.95,0.63,44.88,6.97
2015,1,8,4.99,8.5,2.5,66.25,6.5
2015,1,9,3.47,6.49,0.89,80.23,3.0
2015,1,10,-0.05,4.7,-3.06,60.79,3.4
2015,1,11,0.17,3.58,-2.18,57.72,2.54
2015,1,12,0.92,7.63,-3.09,67.14,1.78
2015,1,13,1.41,10.0,-4.18,62.38,3.29
2015,1,14,3.71,11.69,-2.58,49.87,3.88
2015,1,15,5.54,11.6,1.0,58.63,4.5
2015,1,16,4.98,11.43,0.95,76.94,2.46
2015,1,17,7.35,12.76,3.82,71.02,0.83
2015,1,18,6.1,12.85,-0.02,65.86,2.39
2015,1,19,5.02,13.49,-2.96,56.36,2.06
2015,1,20,8.17,15.96,0.23,45.63,1.61
2015,1,21,9.39,20.45,1.87,39.08,1.57
2015,1,22,9.65,20.87,3.53,31.83,3.22
2015,1,23,7.19,16.62,0.81,59.13,1.56
2015,1,24,8.45,17.09,2.0,42.21,2.93
2015,1,25,9.49,18.15,3.02,33.35,2.95
2015,1,26,13.65,22.13,8.79,32.04,2.04
