-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  31.68   longitude 38.65 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 819.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,10.38,18.46,5.52,50.26,3.03
2015,1,2,7.82,12.2,5.12,68.86,2.87
2015,1,3,8.43,14.88,4.2,65.53,1.79
2015,1,4,6.04,10.31,2.53,83.28,3.39
2015,1,5,6.55,13.09,2.95,69.47,3.67
2015,1,6,7.0,15.22,0.28,50.07,4.39
2015,1,7,4.87,10.96,-0.24,51.96,7.32
2015,1,8,4.62,8.46,1.94,74.47,6.54
2015,1,9,2.77,5.47,-1.58,81.62,3.77
2015,1,10,-1.26,4.12,-6.38,61.1,2.92
2015,1,11,0.28,5.01,-2.46,64.89,3.62
2015,1,12,1.33,9.02,-2.98,72.49,2.21
2015,1,13,3.06,13.21,-3.79,60.38,4.15
2015,1,14,5.54,16.34,-1.55,51.94,3.93
2015,1,15,4.88,11.03,1.0,72.33,4.3
2015,1,16,5.45,10.99,1.4,77.91,2.11
2015,1,17,7.57,12.43,3.86,66.98,1.16
2015,1,18,5.89,13.18,0.47,71.19,2.53
2015,1,19,5.91,13.45,-1.37,55.88,1.64
2015,1,20,9.1,16.33,2.81,46.01,1.19
2015,1,21,9.81,20.78,3.52,36.81,2.1
2015,1,22,9.18,19.84,1.81,33.72,2.78
2015,1,23,9.17,18.64,3.1,54.37,2.29
2015,1,24,10.37,20.55,3.23,39.56,3.85
2015,1,25,11.51,18.59,5.87,28.37,3.25
2015,1,26,14.45,22.18,10.35,35.36,1.51
2015,1,27,12.92,20.38,8.36,48.16,2.63
2015,1,28,12.51,19.9,8.28,52.22,4.31
2015,1,29,10.3,16.28,6.03,64.4,1.69
2015,1,30,8.42,15.71,3.13,60.32,3.31
2015,1,31,8.13,16.69,2.21,41.83,2.03
2015,2,1,9.4,20.75,1.19,34.82,2.84
2015,2,2,11.23,23.12,2.5,40.13,4.1
2015,2,3,11.18,20.67,4.33,40.14,2.41
2015,2,4,8.78,16.78,3.45,64.33,2.72
2015,2,5,11.18,20.44,4.09,46.74,1.97
2015,2,6,12.4,22.19,4.02,38.19,3.59
2015,2,7,14.72,25.45,7.54,33.72,2.84
2015,2,8,9.91,17.64,4.88,63.44,3.89
2015,2,9,9.24,18.34,3.01,63.64,2.69
2015,2,10,11.6,20.53,3.66,42.88,4.15
2015,2,11,8.17,14.34,2.96,42.3,5.43
2015,2,12,5.55,11.52,1.41,47.97,3.63
2015,2,13,5.68,12.4,1.52,47.91,2.8
2015,2,14,6.43,13.84,-0.1,62.4,1.8
2015,2,15,9.48,16.45,3.45,38.77,2.17
2015,2,16,7.73,13.97,3.21,68.65,2.55
2015,2,17,8.86,15.99,2.72,59.53,2.23
2015,2,18,7.55,15.72,1.48,67.02,2.1
2015,2,19,6.99,12.76,3.21,71.87,4.45
2015,2,20,2.41,6.21,-1.27,71.66,6.54
2015,2,21,4.76,9.26,0.07,71.85,4.82
2015,2,22,5.83,12.89,-0.78,53.49,1.17
2015,2,23,7.27,13.72,1.65,46.08,2.22
2015,2,24,10.68,18.11,5.91,32.56,5.42
2015,2,25,11.24,18.77,5.53,50.94,2.27
2015,2,26,10.71,19.69,2.94,49.6,2.35
2015,2,27,12.38,21.53,3.97,40.47,3.76
2015,2,28,13.8,23.32,7.02,36.33,4.25
2015,3,1,10.81,19.11,2.98,51.87,2.5
2015,3,2,9.31,18.03,2.48,56.74,3.3
2015,3,3,9.43,17.43,3.72,64.18,3.31
2015,3,4,9.86,17.35,2.89,66.93,3.1
2015,3,5,11.64,19.55,3.78,56.26,2.66
2015,3,6,11.68,20.92,4.43,26.15,4.11
2015,3,7,14.01,23.81,5.32,20.87,4.57
2015,3,8,17.69,27.77,10.24,21.95,4.04
2015,3,9,18.09,27.76,9.61,24.15,1.97
2015,3,10,19.01,27.54,12.18,29.13,1.97
2015,3,11,19.75,28.65,12.85,26.81,5.41
2015,3,12,14.86,21.96,6.71,57.7,5.34
2015,3,13,10.92,18.6,2.8,48.51,1.75
2015,3,14,13.4,22.22,4.98,28.16,2.32
2015,3,15,13.45,22.46,5.23,33.52,2.66
2015,3,16,11.36,18.53,4.58,48.44,2.93
