-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  27.55   longitude 49.2 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,18.6,20.58,17.2,62.15,4.53
2015,1,2,18.72,21.02,16.01,47.67,2.18
2015,1,3,18.9,22.27,14.9,50.17,2.74
2015,1,4,19.09,22.49,15.67,51.86,2.63
2015,1,5,18.6,20.21,17.44,74.21,5.67
2015,1,6,19.58,21.94,17.43,67.75,2.1
2015,1,7,19.85,24.12,15.72,63.99,3.66
2015,1,8,17.27,18.96,15.04,53.98,7.15
2015,1,9,14.99,16.4,13.38,55.11,4.67
2015,1,10,16.17,19.37,12.89,54.25,5.14
2015,1,11,12.75,14.76,10.6,60.95,5.59
2015,1,12,13.88,15.32,12.44,63.71,6.65
2015,1,13,14.24,16.15,12.03,62.05,5.88
2015,1,14,15.36,17.4,13.48,59.21,4.77
2015,1,15,17.15,18.8,15.22,49.98,2.38
2015,1,16,18.65,20.56,17.17,62.49,2.01
2015,1,17,17.77,19.17,16.53,66.74,4.16
2015,1,18,16.34,17.6,14.16,65.81,6.64
2015,1,19,14.41,16.41,12.45,63.57,7.63
2015,1,20,14.57,16.43,12.79,55.02,5.67
2015,1,21,15.25,17.53,13.19,56.14,4.49
2015,1,22,15.65,18.12,12.97,49.99,2.57
2015,1,23,15.51,18.38,12.32,43.77,1.98
2015,1,24,16.33,18.9,13.82,55.06,1.79
2015,1,25,17.43,20.04,15.77,62.92,1.48
2015,1,26,16.93,20.03,13.51,63.28,2.49
2015,1,27,17.64,22.85,12.82,58.48,4.46
2015,1,28,18.22,23.25,13.68,57.21,4.95
2015,1,29,19.43,24.55,14.74,57.67,6.12
2015,1,30,20.74,26.42,16.5,56.93,5.46
2015,1,31,18.89,20.89,16.94,75.07,4.44
2015,2,1,18.26,19.67,16.54,60.94,6.57
2015,2,2,17.55,19.84,15.51,59.38,5.13
2015,2,3,18.47,21.77,15.41,53.05,2.91
2015,2,4,20.16,24.93,16.06,58.24,3.9
2015,2,5,18.45,20.8,16.61,71.94,4.65
2015,2,6,17.86,20.0,16.26,58.15,5.37
2015,2,7,18.02,20.87,15.39,55.62,3.39
2015,2,8,19.09,21.69,16.87,65.5,7.13
2015,2,9,19.59,23.8,16.34,66.19,4.7
2015,2,10,21.41,26.54,17.84,59.48,6.72
2015,2,11,21.7,24.94,19.58,65.2,7.11
2015,2,12,20.13,22.71,17.65,59.52,6.15
2015,2,13,17.68,19.35,16.47,61.79,5.01
2015,2,14,17.16,19.07,16.13,67.42,4.7
2015,2,15,17.78,20.4,15.83,64.43,4.15
2015,2,16,19.15,23.16,16.4,66.81,2.21
2015,2,17,19.19,21.34,17.93,78.19,3.4
2015,2,18,18.54,19.55,17.51,77.04,6.78
2015,2,19,18.8,20.34,17.3,79.13,4.58
2015,2,20,20.26,23.62,17.87,71.72,3.17
2015,2,21,16.63,17.67,15.91,48.19,5.71
2015,2,22,14.51,15.83,12.64,53.1,7.12
2015,2,23,14.59,16.6,12.59,56.32,6.4
2015,2,24,15.7,17.63,14.05,56.55,3.57
2015,2,25,17.23,19.8,15.19,48.82,2.46
2015,2,26,17.99,19.2,16.87,60.61,4.97
2015,2,27,17.32,19.63,15.42,65.04,6.2
2015,2,28,19.33,22.82,15.68,57.33,2.07
2015,3,1,19.56,23.84,16.08,46.61,2.53
2015,3,2,19.06,21.72,16.77,72.01,2.86
2015,3,3,19.39,21.57,17.34,62.56,2.85
2015,3,4,19.78,22.81,17.39,61.08,3.38
2015,3,5,19.45,21.27,17.76,62.36,4.2
2015,3,6,19.1,20.73,17.29,56.4,6.04
2015,3,7,18.39,21.31,15.53,54.98,4.57
2015,3,8,19.19,22.8,16.38,57.06,1.83
2015,3,9,19.65,23.54,16.43,74.98,4.04
2015,3,10,20.41,22.05,19.05,75.33,4.86
2015,3,11,19.51,21.04,17.54,60.16,6.1
2015,3,12,20.02,22.31,17.39,62.15,4.91
2015,3,13,20.36,23.28,18.12,71.06,3.79
2015,3,14,21.19,24.7,18.76,71.3,3.55
2015,3,15,20.98,23.47,18.91,68.58,1.82
2015,3,16,21.17,23.59,19.52,68.0,2.47
2015,3,17,20.43,22.66,19.36,84.29,5.21
2015,3,18,20.51,21.7,19.48,84.46,5.38
2015,3,19,21.58,24.41,19.49,80.57,2.45
2015,3,20,22.14,25.48,19.76,77.6,3.06
2015,3,21,22.57,26.17,20.8,82.99,2.78
2015,3,22,22.35,25.45,20.35,79.2,5.0
2015,3,23,19.48,20.71,18.06,50.88,7.06
2015,3,24,19.29,20.98,17.85,53.82,4.79
2015,3,25,20.39,22.67,18.21,53.56,2.73
2015,3,26,20.39,23.64,19.08,74.37,2.36
2015,3,27,20.73,22.24,19.62,71.09,3.72
2015,3,28,20.76,23.73,17.87,59.49,3.19
2015,3,29,21.56,24.52,18.46,55.63,2.41
2015,3,30,25.22,30.68,20.96,59.93,3.54
2015,3,31,22.46,23.89,21.51,62.4,6.19
2015,4,1,22.62,25.76,20.34,60.68,2.97
2015,4,2,21.32,23.18,19.51,59.84,6.86
2015,4,3,22.16,24.5,19.79,55.44,4.09
2015,4,4,22.68,26.4,19.36,52.47,2.65
2015,4,5,23.38,25.7,20.7,58.17,3.84
