-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  27.0   longitude 49.66 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 25.9 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,16.58,22.05,12.65,63.65,3.52
2015,1,2,17.16,22.66,11.33,46.48,1.89
2015,1,3,17.54,24.69,10.91,40.74,2.36
2015,1,4,17.45,25.29,11.44,36.84,2.64
2015,1,5,17.09,21.84,14.26,73.25,4.32
2015,1,6,18.41,23.74,14.23,63.64,1.39
2015,1,7,18.91,26.7,12.47,51.78,3.19
2015,1,8,16.32,20.19,12.58,40.66,6.19
2015,1,9,13.74,17.26,9.63,47.34,3.7
2015,1,10,15.32,20.89,10.84,48.36,4.36
2015,1,11,10.65,15.06,6.86,51.43,4.71
2015,1,12,11.6,15.98,8.29,57.72,5.35
2015,1,13,11.53,16.8,7.17,55.5,4.82
2015,1,14,12.88,18.64,8.45,53.79,3.78
2015,1,15,15.13,19.64,10.8,43.73,2.0
2015,1,16,17.45,22.09,14.91,54.12,1.36
2015,1,17,16.94,21.14,13.65,67.82,3.08
2015,1,18,15.45,19.01,11.96,62.89,5.39
2015,1,19,12.59,16.39,9.08,57.23,6.39
2015,1,20,11.98,17.23,7.99,46.94,4.71
2015,1,21,12.77,18.65,8.15,50.75,3.64
2015,1,22,13.76,19.48,7.79,43.49,2.13
2015,1,23,13.79,20.66,7.74,37.4,1.83
2015,1,24,14.77,20.92,10.55,48.0,1.64
2015,1,25,16.4,22.02,13.32,62.07,1.19
2015,1,26,15.85,22.72,9.95,54.17,2.1
2015,1,27,16.83,25.5,9.87,43.07,3.62
2015,1,28,17.45,26.24,10.14,39.05,3.85
2015,1,29,19.07,28.18,11.42,37.52,4.8
2015,1,30,21.07,30.16,14.01,38.41,5.16
2015,1,31,18.69,23.79,14.54,59.87,4.11
2015,2,1,17.6,22.14,13.57,54.87,5.26
2015,2,2,16.23,22.03,11.66,50.76,4.13
2015,2,3,17.84,24.91,12.47,36.12,2.35
2015,2,4,19.96,28.2,13.18,39.2,3.1
2015,2,5,17.89,23.81,14.1,60.05,4.08
2015,2,6,16.74,22.29,13.02,50.7,4.22
2015,2,7,17.0,23.25,11.12,45.05,2.74
2015,2,8,18.66,23.61,13.62,49.5,5.86
2015,2,9,21.03,29.45,14.64,40.81,3.5
2015,2,10,22.69,31.55,16.22,36.73,5.56
