-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  24.09   longitude 38.06 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 17.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,25.43,29.7,21.44,44.22,2.47
2015,1,2,25.75,28.85,23.27,54.06,2.28
2015,1,3,25.05,28.89,22.03,54.87,3.33
2015,1,4,22.17,25.96,19.16,55.91,5.12
2015,1,5,20.53,23.66,17.56,51.29,2.67
2015,1,6,22.03,24.9,19.96,54.96,2.94
2015,1,7,20.82,24.23,18.34,53.44,5.0
2015,1,8,19.22,22.91,16.26,47.8,4.8
2015,1,9,18.62,22.29,15.86,59.57,5.9
2015,1,10,17.96,21.58,15.52,43.56,4.51
2015,1,11,17.61,22.53,12.85,37.4,4.16
2015,1,12,20.03,25.57,15.62,41.58,4.9
2015,1,13,21.99,26.91,17.66,50.86,3.74
2015,1,14,23.23,25.92,20.3,58.05,2.9
2015,1,15,20.83,24.49,17.9,58.26,4.82
2015,1,16,19.57,24.49,15.32,51.32,4.32
2015,1,17,20.18,24.7,15.96,50.33,4.73
2015,1,18,20.91,27.11,16.25,41.95,4.57
2015,1,19,20.4,26.98,14.27,39.48,4.22
2015,1,20,20.95,27.85,14.33,37.56,3.6
2015,1,21,22.33,29.57,16.09,33.93,3.6
2015,1,22,23.19,30.04,17.54,34.22,3.41
2015,1,23,23.74,29.02,19.81,40.43,2.76
2015,1,24,24.83,29.99,21.56,38.99,2.03
2015,1,25,24.03,28.56,19.56,45.06,3.02
2015,1,26,24.02,27.77,20.61,50.96,2.69
2015,1,27,23.8,27.35,20.92,66.95,2.09
2015,1,28,23.86,27.25,21.22,75.46,2.85
2015,1,29,24.72,27.2,22.92,76.0,2.54
2015,1,30,24.68,26.7,23.28,70.39,2.24
2015,1,31,24.91,28.03,22.82,46.26,1.71
2015,2,1,25.47,29.43,22.28,47.83,2.32
2015,2,2,24.24,27.29,21.79,66.91,2.33
2015,2,3,24.59,27.82,22.27,65.07,1.65
2015,2,4,25.05,28.04,22.56,60.98,2.24
2015,2,5,25.93,30.28,22.33,48.31,2.11
2015,2,6,25.34,29.17,22.15,52.69,2.35
2015,2,7,25.25,28.82,22.66,65.66,3.28
2015,2,8,25.54,28.23,23.11,76.46,4.26
2015,2,9,24.99,26.79,23.76,80.39,1.96
2015,2,10,24.76,27.11,23.3,73.36,2.1
2015,2,11,23.82,27.01,19.9,56.97,4.93
2015,2,12,20.88,24.46,18.21,48.79,4.63
2015,2,13,20.4,25.16,16.32,45.96,4.53
2015,2,14,21.26,25.51,17.38,45.07,3.2
2015,2,15,23.93,27.88,21.22,40.37,1.63
2015,2,16,24.55,27.48,22.47,64.87,1.93
2015,2,17,24.43,26.86,22.5,73.06,2.3
2015,2,18,24.68,28.86,21.55,53.87,3.61
2015,2,19,22.32,26.58,18.76,53.39,5.21
2015,2,20,19.49,22.68,15.88,55.92,6.6
2015,2,21,18.5,22.2,15.76,56.39,4.44
2015,2,22,20.72,26.3,15.6,43.69,3.27
2015,2,23,23.76,29.18,19.11,34.86,4.1
2015,2,24,24.04,28.99,19.43,53.48,4.22
2015,2,25,25.42,28.91,22.95,72.62,2.92
2015,2,26,25.7,31.25,21.45,55.83,2.92
2015,2,27,26.81,33.0,21.78,39.0,3.74
2015,2,28,26.61,30.87,22.26,39.22,3.49
2015,3,1,26.7,31.55,22.94,50.87,3.69
2015,3,2,27.62,33.95,22.13,43.14,3.0
2015,3,3,26.81,30.94,22.63,45.16,3.19
2015,3,4,26.13,31.27,21.18,42.05,3.97
2015,3,5,24.94,29.59,20.73,40.89,3.17
2015,3,6,25.31,28.88,21.42,49.63,2.38
2015,3,7,26.67,31.1,22.74,48.16,2.6
2015,3,8,26.25,29.59,23.51,60.41,2.22
2015,3,9,26.19,29.93,23.09,59.65,2.18
2015,3,10,28.51,35.79,23.54,43.93,2.88
2015,3,11,28.06,34.73,23.09,37.94,3.61
2015,3,12,26.95,29.86,24.83,56.67,4.08
2015,3,13,25.46,28.69,22.45,52.5,3.25
2015,3,14,25.98,29.82,22.56,51.05,2.99
2015,3,15,26.02,30.79,22.76,40.91,3.74
2015,3,16,24.54,29.28,19.5,53.52,3.92
2015,3,17,25.01,27.67,23.12,52.36,2.75
2015,3,18,25.01,29.15,21.39,47.79,3.25
2015,3,19,24.57,29.61,20.0,45.62,3.64
2015,3,20,23.99,29.34,19.34,43.91,3.82
2015,3,21,23.54,27.86,20.04,42.87,3.74
2015,3,22,24.96,31.07,19.34,41.45,4.51
2015,3,23,25.71,32.46,19.45,40.68,4.7
2015,3,24,26.2,29.59,22.38,54.5,2.52
2015,3,25,27.35,30.0,24.66,61.49,1.66
2015,3,26,27.79,30.01,25.84,61.01,1.67
2015,3,27,28.4,31.9,24.86,54.58,2.44
2015,3,28,28.76,31.97,26.1,51.55,3.63
2015,3,29,29.02,32.47,26.66,56.79,3.35
2015,3,30,29.01,32.59,25.84,47.16,2.77
2015,3,31,28.11,33.56,24.21,37.05,4.62
2015,4,1,25.67,30.1,21.59,47.54,5.44
2015,4,2,25.7,30.48,21.08,42.34,3.61
2015,4,3,26.66,31.6,21.79,43.8,3.1
2015,4,4,27.43,31.96,24.08,41.03,3.54
2015,4,5,26.63,31.21,22.0,45.23,3.16
2015,4,6,27.62,31.62,24.11,43.89,2.5
2015,4,7,28.47,33.16,24.33,41.3,3.22
2015,4,8,28.43,34.98,23.04,44.22,2.4
2015,4,9,28.32,31.42,25.53,54.12,2.17
2015,4,10,28.04,31.85,23.9,46.05,4.47
2015,4,11,23.92,27.6,20.21,42.28,6.76
2015,4,12,22.27,26.54,18.62,44.84,6.15
2015,4,13,24.32,30.37,17.99,37.95,5.13
2015,4,14,24.86,30.33,19.06,37.75,4.36
2015,4,15,24.49,29.21,20.35,38.72,4.03
2015,4,16,24.87,29.81,19.8,39.16,5.05
2015,4,17,24.83,30.06,19.64,44.15,5.71
2015,4,18,25.37,31.62,19.75,49.61,3.49
2015,4,19,27.8,33.28,22.21,45.64,2.94
2015,4,20,27.3,31.43,23.85,56.11,1.94
2015,4,21,27.62,31.1,24.26,51.71,1.83
2015,4,22,28.6,31.74,25.75,39.58,1.88
2015,4,23,29.39,33.97,24.9,36.1,3.58
2015,4,24,28.06,33.91,23.08,35.83,5.74
2015,4,25,29.02,36.49,22.19,32.2,4.39
2015,4,26,28.41,32.7,25.16,36.36,3.29
2015,4,27,29.46,33.37,25.57,40.59,1.65
2015,4,28,30.81,35.51,25.23,29.31,1.89
2015,4,29,30.56,34.5,25.86,43.94,1.63
2015,4,30,29.89,34.43,25.66,56.69,1.92
2015,5,1,29.61,34.48,25.19,60.08,2.05
2015,5,2,28.57,33.57,24.96,66.25,2.25
