-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  28.0   longitude 35.2 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 76.14 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,22.93,26.65,18.75,35.94,2.71
2015,1,2,19.77,24.28,16.29,44.6,5.85
2015,1,3,19.17,22.72,16.18,50.54,4.91
2015,1,4,16.94,20.17,14.21,52.93,5.56
2015,1,5,16.86,19.75,14.26,54.5,2.76
2015,1,6,17.32,20.15,14.32,57.22,5.12
2015,1,7,14.66,17.14,12.56,55.71,6.41
2015,1,8,14.07,17.61,10.96,56.89,4.52
2015,1,9,13.72,17.29,10.97,59.94,6.17
2015,1,10,13.1,16.46,9.64,55.62,4.18
2015,1,11,15.67,20.24,11.99,58.07,3.75
2015,1,12,15.77,19.57,12.04,52.9,3.34
2015,1,13,17.65,20.2,15.3,45.13,1.31
2015,1,14,18.39,21.42,14.89,48.87,3.21
2015,1,15,16.2,18.93,13.17,52.17,3.18
2015,1,16,17.55,20.65,14.44,50.2,2.82
2015,1,17,17.19,20.62,14.46,54.49,3.58
2015,1,18,18.11,22.57,14.24,48.0,4.17
2015,1,19,18.26,22.6,13.97,46.55,3.43
2015,1,20,19.85,24.66,15.39,35.87,2.2
2015,1,21,21.1,25.62,17.48,36.88,2.36
2015,1,22,22.04,25.75,19.41,34.07,1.44
2015,1,23,21.94,25.57,18.58,36.87,2.36
2015,1,24,23.52,26.63,21.57,40.13,1.65
2015,1,25,22.7,25.22,20.8,54.59,1.87
2015,1,26,22.7,25.29,21.19,69.7,1.58
2015,1,27,22.09,24.75,20.69,76.73,2.14
2015,1,28,21.87,24.76,18.69,64.47,3.24
2015,1,29,19.76,22.83,17.44,45.39,2.85
2015,1,30,18.92,21.84,16.94,37.15,2.65
2015,1,31,19.15,22.17,16.51,33.56,1.28
2015,2,1,20.92,24.64,17.51,29.96,1.23
2015,2,2,21.26,24.49,19.41,44.67,2.12
2015,2,3,21.46,25.13,18.3,48.55,1.96
2015,2,4,21.95,26.82,18.17,39.67,4.58
2015,2,5,23.09,28.02,19.42,36.01,2.87
2015,2,6,24.2,27.64,21.71,40.21,2.68
2015,2,7,23.13,26.0,20.8,67.45,2.08
2015,2,8,22.67,26.28,19.96,55.13,2.51
2015,2,9,20.75,24.49,18.75,49.45,2.86
2015,2,10,20.53,23.02,17.78,45.88,5.17
2015,2,11,16.34,18.67,13.85,50.66,6.27
2015,2,12,15.05,17.95,12.26,47.2,4.05
2015,2,13,16.0,18.66,13.39,45.56,3.29
2015,2,14,17.04,19.76,14.22,43.02,2.25
2015,2,15,18.98,21.6,16.95,48.26,1.89
2015,2,16,19.17,22.58,15.77,49.17,3.11
2015,2,17,18.64,19.77,17.42,53.26,2.07
2015,2,18,18.42,22.25,15.23,53.12,5.02
2015,2,19,16.78,21.43,13.19,56.84,5.97
2015,2,20,14.06,16.97,11.07,54.83,5.64
2015,2,21,15.98,20.5,12.14,57.13,4.88
2015,2,22,16.38,20.0,11.9,42.82,2.45
2015,2,23,20.59,24.3,17.27,31.74,1.76
2015,2,24,21.72,24.92,19.22,52.48,3.72
2015,2,25,20.73,25.37,16.35,49.19,5.66
2015,2,26,22.5,27.7,17.62,43.27,4.07
2015,2,27,23.04,27.22,18.67,46.83,3.21
2015,2,28,23.79,27.63,20.27,45.31,3.88
2015,3,1,21.75,26.9,17.2,41.97,5.13
2015,3,2,21.61,26.59,17.68,40.43,6.88
2015,3,3,21.58,25.74,18.48,41.24,6.32
2015,3,4,20.97,25.34,16.31,45.22,6.33
2015,3,5,22.3,27.28,17.18,46.25,4.72
2015,3,6,23.84,29.33,18.88,38.58,3.53
2015,3,7,23.31,26.67,19.85,50.66,2.68
2015,3,8,24.09,27.67,21.4,47.95,1.52
2015,3,9,26.05,30.81,20.96,36.27,2.28
2015,3,10,28.07,33.24,24.94,37.31,3.04
2015,3,11,26.2,29.2,23.35,41.67,2.79
2015,3,12,23.11,25.34,18.32,46.0,4.15
2015,3,13,21.22,26.12,16.11,40.41,4.04
2015,3,14,22.47,26.31,19.25,42.29,3.12
2015,3,15,22.16,27.46,17.18,44.9,6.66
2015,3,16,22.5,27.18,17.74,47.1,6.52
2015,3,17,22.55,28.03,17.67,43.93,5.18
2015,3,18,21.94,26.64,17.58,44.99,2.81
2015,3,19,21.86,26.1,17.43,46.5,5.77
2015,3,20,20.98,24.75,16.4,45.45,4.16
2015,3,21,21.64,25.92,17.24,41.72,3.75
2015,3,22,20.67,25.73,16.08,42.95,7.18
2015,3,23,21.38,25.88,16.15,38.67,3.03
2015,3,24,24.76,29.94,20.13,36.25,2.7
2015,3,25,25.62,30.88,20.72,40.1,2.53
2015,3,26,26.73,31.26,22.2,38.05,4.22
2015,3,27,26.9,30.92,22.99,38.24,3.3
2015,3,28,25.8,28.4,23.3,62.9,2.39
2015,3,29,25.31,28.05,23.03,53.22,2.64
2015,3,30,24.02,27.57,20.36,36.87,3.14
2015,3,31,22.91,26.47,19.04,46.05,3.57
2015,4,1,22.84,26.01,19.75,44.52,2.74
2015,4,2,23.21,27.69,18.69,46.89,2.51
2015,4,3,24.89,29.17,21.77,42.11,2.19
2015,4,4,24.29,27.84,20.83,45.2,3.42
2015,4,5,23.81,29.18,18.92,44.43,3.03
2015,4,6,25.62,31.51,20.36,42.43,3.56
2015,4,7,26.91,32.58,20.93,37.91,4.35
2015,4,8,28.58,33.82,24.04,30.99,2.56
2015,4,9,26.53,29.81,22.3,39.19,3.85
2015,4,10,21.69,25.3,18.57,40.57,5.96
2015,4,11,18.73,21.12,15.99,45.02,5.28
