-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  17.3   longitude 42.35 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 249.44 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,25.76,31.69,20.7,46.47,2.18
2015,1,2,25.48,31.81,19.78,41.72,2.42
2015,1,3,25.51,29.74,22.64,62.77,2.39
2015,1,4,24.96,29.01,22.14,72.94,2.53
2015,1,5,25.65,29.85,22.73,70.53,2.23
2015,1,6,25.78,30.22,22.87,68.68,1.9
2015,1,7,25.88,30.45,21.87,67.05,2.23
2015,1,8,26.02,31.18,21.76,61.04,2.3
2015,1,9,25.34,29.61,22.26,64.71,2.27
2015,1,10,24.3,28.53,21.41,60.98,2.71
2015,1,11,24.59,29.01,21.05,54.23,2.0
2015,1,12,24.68,29.42,21.01,58.8,1.79
2015,1,13,25.78,31.14,21.9,48.06,2.89
2015,1,14,25.77,30.39,22.37,53.96,2.08
2015,1,15,26.37,31.34,23.49,52.36,2.01
2015,1,16,25.88,30.42,22.67,63.41,2.07
2015,1,17,25.71,30.19,22.71,66.29,2.06
2015,1,18,25.25,29.4,22.32,68.53,2.55
2015,1,19,25.67,30.91,22.13,56.32,2.0
2015,1,20,25.69,31.51,20.36,47.82,2.13
2015,1,21,25.77,31.06,21.22,50.59,2.18
2015,1,22,25.83,31.31,21.1,43.0,2.27
2015,1,23,25.09,29.12,21.97,61.37,2.25
2015,1,24,25.29,30.65,20.67,46.38,2.47
2015,1,25,24.51,30.54,19.42,36.57,2.62
2015,1,26,24.17,30.03,18.94,36.59,2.5
2015,1,27,24.74,30.32,20.86,48.03,2.31
2015,1,28,24.84,30.03,20.94,61.06,2.47
2015,1,29,25.48,30.94,21.19,59.75,2.48
2015,1,30,25.84,30.35,22.38,59.21,2.14
2015,1,31,26.18,30.38,23.06,59.75,2.17
2015,2,1,26.06,30.85,22.96,59.95,1.99
2015,2,2,26.49,32.13,21.95,42.62,2.24
2015,2,3,26.62,31.7,22.66,44.72,2.19
2015,2,4,26.05,30.5,23.31,51.42,2.24
2015,2,5,26.25,31.17,23.1,56.57,2.32
2015,2,6,26.13,32.16,21.82,41.14,2.39
2015,2,7,26.02,31.72,21.64,37.69,2.55
2015,2,8,26.56,31.89,22.35,44.56,2.63
2015,2,9,26.81,33.42,21.31,41.4,2.34
2015,2,10,26.68,32.3,22.96,41.48,2.54
2015,2,11,26.43,32.47,21.65,48.08,2.26
2015,2,12,26.29,31.02,23.1,55.48,2.3
2015,2,13,25.82,31.29,21.65,67.99,2.23
2015,2,14,25.75,30.92,21.89,66.54,2.32
2015,2,15,26.17,31.01,22.39,63.98,1.94
2015,2,16,27.0,32.31,22.94,60.92,1.87
2015,2,17,27.64,32.53,24.63,57.5,2.08
2015,2,18,28.26,33.97,24.68,54.31,2.17
2015,2,19,27.36,32.73,23.63,55.81,2.35
2015,2,20,26.5,31.31,22.81,58.47,2.19
2015,2,21,26.0,31.15,22.63,62.94,2.58
2015,2,22,25.66,30.96,22.15,61.91,2.33
2015,2,23,26.81,32.5,21.65,43.2,2.45
2015,2,24,27.63,33.21,22.83,42.38,2.77
2015,2,25,27.95,33.43,23.6,56.97,2.39
2015,2,26,27.94,32.18,24.82,57.12,2.3
2015,2,27,27.79,33.01,24.23,48.79,2.15
2015,2,28,27.83,33.96,23.14,38.08,2.6
2015,3,1,27.36,32.89,22.79,44.49,2.57
2015,3,2,27.53,32.11,23.77,57.91,1.98
2015,3,3,29.17,34.45,24.94,50.61,1.97
2015,3,4,29.24,34.37,24.7,48.2,1.98
2015,3,5,28.42,32.62,24.39,52.16,1.98
2015,3,6,29.33,33.9,25.94,48.99,2.19
2015,3,7,29.22,34.32,25.17,33.33,2.89
2015,3,8,28.87,33.86,24.94,40.05,2.55
2015,3,9,29.16,33.59,26.44,46.61,2.21
2015,3,10,29.69,33.99,26.91,47.36,2.18
2015,3,11,29.53,34.18,26.04,46.03,2.14
2015,3,12,30.26,35.12,26.62,36.64,2.59
2015,3,13,30.49,35.95,26.33,36.54,2.5
2015,3,14,29.76,33.97,26.76,39.53,2.33
2015,3,15,30.24,35.52,26.59,37.39,2.24
2015,3,16,29.17,33.61,25.88,47.18,2.45
2015,3,17,29.15,33.32,26.07,46.19,2.14
2015,3,18,28.8,33.01,25.87,51.11,2.28
2015,3,19,28.96,33.83,25.6,48.95,2.44
2015,3,20,28.57,33.07,25.31,51.62,2.61
2015,3,21,29.19,34.55,25.18,55.2,2.47
2015,3,22,28.68,32.82,25.36,60.48,2.47
2015,3,23,29.28,33.99,25.54,57.95,1.91
2015,3,24,29.58,33.59,26.02,54.94,2.35
2015,3,25,29.39,33.2,25.6,57.55,1.83
2015,3,26,30.2,34.4,26.57,49.76,2.27
2015,3,27,30.79,35.72,26.94,43.88,2.33
2015,3,28,31.39,36.7,27.86,34.36,2.69
2015,3,29,31.2,37.19,26.52,29.99,3.13
2015,3,30,31.2,36.32,26.32,30.02,2.58
2015,3,31,31.38,36.25,27.76,31.36,2.47
2015,4,1,30.46,36.15,26.44,41.46,2.17
2015,4,2,29.53,33.86,25.27,53.62,2.14
2015,4,3,30.1,35.29,25.65,52.8,2.09
2015,4,4,30.44,34.93,27.24,53.45,1.88
2015,4,5,30.46,34.52,26.7,53.79,2.08
2015,4,6,31.68,36.93,28.03,40.49,2.08
2015,4,7,32.34,37.38,28.55,37.44,2.07
2015,4,8,32.09,36.74,28.5,39.85,2.14
2015,4,9,32.48,37.72,28.03,33.31,2.8
2015,4,10,32.37,36.94,28.5,33.15,2.99
2015,4,11,31.48,36.22,26.87,34.7,2.75
2015,4,12,28.76,33.72,24.93,55.07,2.59
2015,4,13,28.23,32.24,24.79,55.16,2.98
2015,4,14,28.58,33.61,24.78,55.04,2.36
2015,4,15,29.39,33.69,25.79,55.51,2.23
2015,4,16,29.91,34.81,26.16,54.93,2.74
2015,4,17,29.36,33.75,25.22,57.13,2.98
2015,4,18,28.95,33.66,24.87,58.96,2.6
2015,4,19,29.1,33.58,24.86,57.19,2.77
2015,4,20,30.57,35.99,25.31,37.53,2.4
2015,4,21,31.14,36.5,25.93,35.9,2.6
2015,4,22,31.53,36.3,27.2,37.23,2.36
2015,4,23,32.12,37.43,28.58,33.4,2.34
2015,4,24,32.17,37.28,28.59,33.07,2.41
2015,4,25,30.36,34.99,26.56,45.84,2.1
2015,4,26,31.33,37.32,26.27,36.27,2.77
2015,4,27,32.2,37.46,27.81,35.71,2.37
2015,4,28,31.45,36.14,27.82,41.55,2.8
2015,4,29,31.71,36.99,27.88,39.9,2.69
2015,4,30,32.1,37.83,27.98,34.33,2.52
2015,5,1,31.98,36.62,27.32,30.6,2.54
2015,5,2,32.32,36.27,28.82,38.75,2.36
2015,5,3,32.71,37.14,28.66,44.09,2.2
2015,5,4,32.88,36.97,30.16,44.99,2.3
2015,5,5,33.18,38.53,28.72,44.64,2.59
2015,5,6,33.4,38.42,28.83,43.96,2.27
2015,5,7,33.23,38.09,28.58,46.13,2.79
2015,5,8,33.07,37.66,30.51,47.26,2.38
2015,5,9,31.92,36.21,28.94,55.88,2.24
2015,5,10,33.08,37.4,28.93,47.02,2.15
2015,5,11,33.79,37.59,30.47,43.83,2.24
2015,5,12,32.71,36.16,29.35,54.86,2.21
2015,5,13,33.54,37.85,29.91,48.07,2.13
2015,5,14,32.87,36.36,29.51,53.38,2.97
2015,5,15,32.99,38.59,29.29,53.59,2.74
2015,5,16,31.64,35.95,28.39,61.14,3.04
2015,5,17,31.81,36.4,27.98,55.71,2.59
2015,5,18,33.7,39.42,29.03,40.77,2.83
2015,5,19,35.79,42.98,30.25,28.8,2.95
2015,5,20,35.16,40.83,30.71,29.59,2.74
2015,5,21,34.96,40.0,30.57,36.61,2.47
2015,5,22,34.67,39.28,30.52,39.3,2.08
2015,5,23,33.49,37.39,30.17,43.84,2.33
2015,5,24,32.96,37.4,29.42,50.25,2.31
2015,5,25,32.35,36.18,29.19,53.57,2.71
2015,5,26,33.0,37.41,29.12,47.63,2.32
2015,5,27,32.34,37.05,29.22,54.13,3.16
2015,5,28,33.09,38.32,29.47,49.28,2.82
2015,5,29,32.24,36.09,28.38,54.46,2.71
2015,5,30,34.1,39.04,30.56,44.55,2.4
2015,5,31,31.76,33.98,29.62,53.68,2.42
2015,6,1,32.12,36.38,28.67,52.57,2.4
2015,6,2,32.16,35.4,29.55,53.16,2.31
2015,6,3,33.53,38.52,30.0,46.8,2.45
2015,6,4,34.59,40.06,30.55,40.4,2.4
2015,6,5,34.71,40.56,30.23,41.23,2.42
2015,6,6,33.67,38.94,30.31,43.89,2.29
2015,6,7,32.84,37.4,29.83,48.39,2.26
2015,6,8,33.45,38.49,29.22,45.58,2.4
2015,6,9,35.68,43.08,29.93,33.38,1.79
2015,6,10,36.56,44.58,29.66,28.36,2.03
2015,6,11,35.04,41.04,30.27,31.42,2.56
2015,6,12,34.21,39.1,30.81,42.08,2.14
2015,6,13,34.54,40.02,30.04,41.33,2.55
2015,6,14,32.92,37.88,28.63,53.55,2.07
2015,6,15,34.03,38.68,30.14,47.35,3.14
