-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  27.35   longitude 35.7 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 155.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,23.08,26.46,20.77,39.25,2.04
2015,1,2,20.85,25.58,15.79,41.65,3.6
2015,1,3,20.1,23.04,16.14,44.6,3.51
2015,1,4,16.77,20.47,13.4,43.17,3.87
2015,1,5,16.45,19.85,13.07,49.22,2.56
2015,1,6,17.77,20.03,15.33,56.35,4.42
2015,1,7,14.93,17.2,12.55,54.78,6.68
2015,1,8,13.43,16.55,9.91,56.16,4.28
2015,1,9,13.31,16.25,10.29,57.16,6.1
2015,1,10,12.39,16.22,7.89,52.55,3.66
2015,1,11,15.11,18.63,11.58,59.86,3.6
2015,1,12,15.23,19.38,11.14,51.58,3.69
2015,1,13,17.34,20.71,14.14,37.36,1.75
2015,1,14,18.02,21.32,15.67,52.3,2.75
2015,1,15,15.62,18.06,12.89,55.68,3.39
2015,1,16,16.84,20.56,12.91,53.04,2.94
2015,1,17,16.88,20.2,13.73,48.89,3.46
2015,1,18,17.91,23.61,13.14,39.57,4.43
2015,1,19,18.14,23.15,12.86,38.09,3.11
2015,1,20,20.01,24.94,16.32,30.22,2.18
2015,1,21,21.2,25.12,18.16,29.23,2.26
2015,1,22,22.49,27.15,19.46,27.74,1.82
2015,1,23,22.5,27.01,17.92,28.36,2.17
2015,1,24,24.32,28.01,22.15,29.83,1.87
2015,1,25,23.22,26.73,19.96,45.46,2.67
2015,1,26,23.19,26.07,21.43,52.31,1.71
2015,1,27,22.2,25.42,20.1,67.7,2.12
2015,1,28,21.34,24.19,19.54,68.77,2.82
2015,1,29,20.47,23.66,18.04,45.11,2.2
2015,1,30,18.48,21.22,16.41,38.64,2.6
2015,1,31,18.67,22.08,15.82,34.81,2.34
2015,2,1,21.21,24.67,18.08,25.97,1.55
2015,2,2,21.73,25.39,19.34,39.07,1.99
2015,2,3,21.82,25.15,19.04,40.48,1.51
2015,2,4,22.37,27.78,17.24,32.89,2.97
2015,2,5,23.7,27.96,19.75,28.34,2.12
2015,2,6,25.28,29.05,22.11,31.92,2.17
2015,2,7,23.52,26.69,20.7,59.92,2.88
2015,2,8,22.46,25.6,20.32,64.3,2.21
2015,2,9,20.97,24.24,18.44,52.63,2.14
2015,2,10,20.79,24.04,17.96,47.92,3.83
2015,2,11,16.65,17.88,14.47,51.22,6.03
2015,2,12,14.66,16.79,12.24,49.5,4.11
