-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  26.24   longitude 36.45 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 16.04 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,24.39,25.66,23.52,58.91,3.39
2015,1,2,23.74,24.2,23.35,59.12,5.56
2015,1,3,23.07,24.09,22.14,59.15,6.59
2015,1,4,20.52,22.3,19.82,59.2,6.43
2015,1,5,19.9,20.67,18.7,52.68,3.06
2015,1,6,20.9,21.78,20.16,57.26,4.6
2015,1,7,19.32,21.01,17.7,60.1,7.82
2015,1,8,17.56,18.54,16.4,66.84,6.84
2015,1,9,17.89,18.81,17.2,67.88,9.0
2015,1,10,16.25,17.23,14.72,63.42,7.05
2015,1,11,18.05,18.87,16.67,63.65,4.2
2015,1,12,19.24,21.15,16.72,49.44,4.18
2015,1,13,20.36,21.94,18.82,48.91,3.5
2015,1,14,21.12,22.31,20.24,60.03,3.84
2015,1,15,19.22,20.72,18.5,61.77,5.48
2015,1,16,19.68,21.05,18.17,62.5,4.94
2015,1,17,20.27,21.5,19.43,61.53,5.23
2015,1,18,20.78,22.69,18.7,48.46,4.63
2015,1,19,19.88,21.26,17.97,50.43,3.79
2015,1,20,20.77,22.34,19.19,44.88,3.09
2015,1,21,22.44,25.32,19.92,42.15,3.96
2015,1,22,23.0,25.16,21.24,45.49,3.38
2015,1,23,23.78,25.69,22.75,45.5,2.42
2015,1,24,24.13,25.94,23.05,46.97,2.0
2015,1,25,23.64,25.03,22.73,64.0,3.53
2015,1,26,23.41,24.88,22.39,68.91,2.85
2015,1,27,23.01,24.32,22.26,77.05,2.45
2015,1,28,23.21,24.6,22.32,81.61,3.64
2015,1,29,22.7,24.19,21.47,60.96,3.34
2015,1,30,21.36,22.6,20.07,56.62,4.98
2015,1,31,21.14,22.64,20.15,52.71,4.58
2015,2,1,22.09,23.48,20.64,53.1,3.54
2015,2,2,22.97,24.37,21.99,54.7,1.37
2015,2,3,22.88,24.51,21.66,60.7,2.43
2015,2,4,23.21,24.87,22.05,55.14,4.42
2015,2,5,24.0,25.75,22.45,48.62,2.85
2015,2,6,24.91,27.14,23.77,52.01,2.81
2015,2,7,24.52,25.83,23.77,76.16,4.21
2015,2,8,23.59,24.4,22.36,78.45,3.28
2015,2,9,22.46,23.74,21.71,64.26,2.7
2015,2,10,23.48,24.62,21.88,54.85,3.02
2015,2,11,20.39,22.71,19.51,55.64,7.35
2015,2,12,18.22,19.31,17.7,60.43,6.02
2015,2,13,18.96,19.93,17.91,59.53,5.1
2015,2,14,19.41,20.63,18.38,55.24,3.29
2015,2,15,21.18,22.39,19.4,51.08,1.77
