-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  17.47   longitude 47.11 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 761.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,15.59,24.23,9.6,34.11,1.75
2015,1,2,14.49,22.68,8.81,40.57,1.64
2015,1,3,14.61,22.82,7.75,28.39,1.28
2015,1,4,16.33,26.03,7.44,27.14,1.74
2015,1,5,17.0,26.45,9.24,29.29,1.42
2015,1,6,18.15,27.35,10.4,38.24,1.75
2015,1,7,18.75,27.67,11.49,37.28,1.18
2015,1,8,19.03,28.26,11.47,33.7,1.59
2015,1,9,18.2,28.02,9.99,34.81,2.07
2015,1,10,19.22,27.45,12.57,48.69,3.13
2015,1,11,17.79,24.73,11.89,40.36,3.13
2015,1,12,15.42,21.43,10.44,41.59,3.84
2015,1,13,14.33,20.44,9.17,38.54,3.16
2015,1,14,14.08,21.35,8.05,31.71,2.47
2015,1,15,14.84,23.23,8.42,23.47,1.84
2015,1,16,15.03,24.22,7.06,27.24,2.02
2015,1,17,17.57,27.49,9.9,28.42,1.83
2015,1,18,19.88,29.16,10.95,31.77,2.02
2015,1,19,16.57,20.62,11.4,52.3,4.12
2015,1,20,13.36,20.38,7.92,39.06,2.3
2015,1,21,12.76,21.3,6.1,23.48,2.14
2015,1,22,12.08,21.17,5.08,16.97,1.88
2015,1,23,11.83,21.38,4.27,16.22,1.6
2015,1,24,12.67,22.5,4.6,14.23,1.69
2015,1,25,13.12,23.2,5.38,16.23,2.08
2015,1,26,13.21,22.91,5.43,22.04,2.11
2015,1,27,14.47,24.97,6.16,21.29,1.89
2015,1,28,16.94,28.16,7.45,20.81,2.05
2015,1,29,19.2,30.85,10.33,29.17,3.1
2015,1,30,19.71,31.22,10.58,31.38,3.01
2015,1,31,19.52,31.07,10.63,22.72,2.55
2015,2,1,19.04,30.28,10.34,16.63,2.29
2015,2,2,17.85,27.95,10.35,19.2,2.21
2015,2,3,18.5,30.05,9.46,18.87,2.41
2015,2,4,19.17,30.42,10.47,20.29,2.63
2015,2,5,19.31,30.17,10.23,21.24,2.54
2015,2,6,19.11,29.14,11.27,22.18,2.18
2015,2,7,19.71,30.25,11.07,21.31,2.3
2015,2,8,20.95,31.44,12.34,23.57,3.6
2015,2,9,21.32,32.34,12.44,21.99,4.22
2015,2,10,21.58,32.83,12.27,31.24,4.27
2015,2,11,21.74,32.88,12.73,34.34,4.25
2015,2,12,22.13,33.2,13.18,30.68,3.27
2015,2,13,22.18,32.95,13.57,32.51,3.19
2015,2,14,22.66,32.71,13.39,34.08,2.9
2015,2,15,22.42,31.82,13.87,26.03,1.9
2015,2,16,22.86,33.08,13.76,19.2,2.51
2015,2,17,23.04,33.63,14.07,21.87,2.73
2015,2,18,23.85,34.78,14.4,17.53,3.05
2015,2,19,24.05,34.49,15.7,27.3,4.59
2015,2,20,24.44,34.51,15.75,33.74,4.65
