-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  31.33   longitude 37.34 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 642.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,10.23,18.43,4.76,57.39,2.31
2015,1,2,8.28,12.83,5.19,76.81,1.9
2015,1,3,8.88,15.11,5.05,70.42,1.87
2015,1,4,6.71,11.29,4.22,85.74,3.14
2015,1,5,8.28,15.71,3.87,64.25,3.47
2015,1,6,8.02,17.17,1.05,51.37,4.44
2015,1,7,5.21,10.81,0.28,60.8,7.4
2015,1,8,5.92,9.84,3.11,76.86,5.65
2015,1,9,3.5,6.59,-1.08,78.55,3.49
2015,1,10,0.17,5.86,-6.09,63.04,2.23
2015,1,11,3.02,9.62,-0.89,74.82,3.69
2015,1,12,2.26,9.91,-3.59,71.23,2.69
2015,1,13,2.69,11.64,-3.78,66.1,3.44
2015,1,14,5.09,13.46,-1.75,57.82,2.12
2015,1,15,5.85,12.08,2.22,76.96,3.97
2015,1,16,7.26,12.68,3.29,76.82,1.53
2015,1,17,7.93,13.22,3.41,73.58,1.42
2015,1,18,7.03,14.73,2.14,73.19,1.8
2015,1,19,7.29,14.08,0.39,55.37,0.97
2015,1,20,9.19,16.62,4.27,51.12,0.9
2015,1,21,9.51,20.43,2.2,42.07,2.69
2015,1,22,9.45,20.52,1.93,47.05,1.97
2015,1,23,9.53,18.39,3.75,55.79,2.86
2015,1,24,10.59,20.16,3.77,44.45,3.83
2015,1,25,11.32,18.48,5.59,41.47,2.35
2015,1,26,13.77,20.62,9.67,48.67,1.5
2015,1,27,13.23,20.2,8.18,54.3,2.38
2015,1,28,12.7,18.9,7.46,62.88,3.59
2015,1,29,10.26,16.24,6.05,72.05,1.36
2015,1,30,8.21,15.7,2.52,60.1,3.03
2015,1,31,8.39,17.0,1.43,48.0,2.12
2015,2,1,9.11,20.39,0.96,39.95,3.11
2015,2,2,10.76,21.08,1.83,45.73,2.97
2015,2,3,10.58,21.63,3.41,48.1,2.25
2015,2,4,10.6,17.76,6.1,70.13,2.24
2015,2,5,11.07,20.4,3.99,54.35,2.46
2015,2,6,13.06,22.63,4.91,36.61,3.42
2015,2,7,13.87,26.2,6.62,40.98,2.49
2015,2,8,10.99,17.79,5.04,72.25,3.59
2015,2,9,9.76,19.94,4.45,66.54,2.5
2015,2,10,11.57,21.51,3.24,46.03,4.24
2015,2,11,8.59,14.81,3.91,45.66,6.26
2015,2,12,6.08,12.7,1.84,52.62,3.46
2015,2,13,5.84,13.39,-0.79,57.57,3.21
2015,2,14,7.43,14.82,1.15,61.84,1.59
2015,2,15,9.27,15.98,4.2,48.94,2.02
2015,2,16,8.1,15.1,3.85,74.22,2.25
2015,2,17,9.09,16.36,3.99,70.84,2.15
2015,2,18,8.2,15.49,3.27,74.52,2.11
2015,2,19,7.26,13.42,1.99,73.26,4.84
2015,2,20,3.62,7.39,0.23,71.45,6.52
2015,2,21,5.97,10.69,0.92,73.83,4.1
2015,2,22,6.58,13.72,-0.38,61.48,0.89
2015,2,23,8.17,13.76,2.59,46.87,2.9
2015,2,24,12.21,20.12,6.43,40.56,4.14
2015,2,25,11.25,19.24,6.35,68.01,2.36
2015,2,26,11.98,20.86,3.8,49.69,2.78
2015,2,27,13.62,22.7,5.12,36.39,4.56
2015,2,28,13.16,22.29,6.37,49.5,3.73
2015,3,1,10.33,19.11,3.85,59.02,2.1
2015,3,2,10.92,19.19,5.07,68.21,3.38
2015,3,3,11.24,18.9,6.16,66.14,2.9
2015,3,4,11.15,18.63,4.6,72.12,3.12
2015,3,5,12.39,20.23,6.08,59.49,2.26
2015,3,6,13.81,22.99,5.71,30.95,4.2
