-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  16.7   longitude 42.12 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,26.45,26.93,25.84,73.33,2.41
2015,1,2,26.9,27.54,26.43,62.84,2.15
2015,1,3,25.92,26.38,25.6,75.6,1.91
2015,1,4,25.59,25.91,25.08,78.06,2.7
2015,1,5,25.97,26.64,25.17,77.07,2.17
2015,1,6,26.04,26.44,25.66,77.02,2.33
2015,1,7,26.22,26.51,25.75,77.01,2.57
2015,1,8,26.34,26.78,26.07,77.01,4.46
2015,1,9,25.97,26.16,25.59,76.15,5.36
2015,1,10,25.32,25.56,25.05,74.84,7.65
2015,1,11,25.25,25.65,24.99,71.01,7.26
2015,1,12,25.2,25.61,24.8,70.88,4.15
2015,1,13,25.88,26.41,25.08,73.93,4.36
2015,1,14,25.98,26.28,25.47,78.06,5.48
2015,1,15,25.94,26.19,25.61,75.48,3.14
2015,1,16,25.67,25.95,25.18,75.76,2.45
2015,1,17,25.78,26.13,25.37,77.75,3.14
2015,1,18,25.48,25.98,24.93,78.4,4.71
2015,1,19,25.38,25.84,24.83,73.92,4.68
2015,1,20,25.38,25.95,24.68,72.48,1.81
2015,1,21,26.02,26.53,25.5,73.43,2.07
2015,1,22,25.95,26.25,25.45,77.85,3.7
2015,1,23,25.69,25.95,25.32,77.55,5.56
2015,1,24,25.75,26.08,25.16,76.92,5.94
2015,1,25,25.85,26.07,25.4,72.76,6.84
2015,1,26,25.65,26.2,24.85,74.86,6.76
2015,1,27,25.5,25.91,24.83,77.39,6.71
2015,1,28,25.65,26.08,25.01,77.47,7.22
2015,1,29,25.77,26.33,25.06,79.14,7.57
2015,1,30,25.78,26.26,25.04,77.6,6.73
2015,1,31,25.66,25.88,25.16,76.55,5.11
2015,2,1,25.68,25.88,25.25,77.59,3.24
2015,2,2,25.94,26.25,25.36,77.13,3.97
2015,2,3,26.0,26.41,25.42,78.17,5.51
2015,2,4,25.78,26.14,25.16,74.61,5.26
2015,2,5,25.65,26.05,25.12,73.02,4.51
2015,2,6,25.74,26.02,25.24,75.15,4.93
2015,2,7,25.96,26.56,25.29,77.41,6.51
2015,2,8,26.18,27.03,25.34,73.71,7.37
2015,2,9,26.37,27.19,25.5,73.42,7.74
2015,2,10,26.34,27.05,25.56,76.33,7.86
2015,2,11,26.05,26.58,25.47,78.44,7.08
2015,2,12,25.49,25.83,25.2,83.34,4.92
2015,2,13,25.4,25.69,25.14,79.68,2.8
2015,2,14,25.38,25.9,24.81,78.86,2.72
2015,2,15,25.53,26.18,25.09,79.47,2.49
2015,2,16,25.76,26.2,25.13,79.37,2.37
2015,2,17,26.0,26.31,25.6,77.33,3.55
2015,2,18,26.06,26.51,25.54,80.29,4.49
2015,2,19,26.02,26.4,25.47,80.19,4.5
2015,2,20,26.01,26.45,25.63,80.46,3.6
2015,2,21,25.68,26.45,24.86,77.17,5.4
2015,2,22,25.26,25.88,24.73,72.0,4.57
2015,2,23,25.73,26.46,24.92,72.09,2.27
2015,2,24,26.63,26.99,26.18,77.54,4.09
2015,2,25,26.67,27.21,26.13,80.37,6.66
2015,2,26,26.44,26.88,25.84,77.06,4.1
2015,2,27,26.47,26.91,25.94,74.45,2.15
2015,2,28,26.69,27.2,26.13,70.35,1.64
2015,3,1,26.86,27.52,26.12,69.95,1.16
2015,3,2,26.76,27.2,26.13,74.38,3.1
2015,3,3,27.19,27.75,26.56,74.32,3.24
2015,3,4,27.21,27.75,26.63,73.75,2.8
2015,3,5,26.85,27.42,26.12,76.77,3.4
2015,3,6,27.12,27.63,26.52,76.59,3.86
2015,3,7,27.21,27.74,26.43,75.19,4.85
2015,3,8,27.0,27.57,26.29,76.6,5.77
2015,3,9,27.02,27.61,26.29,73.96,5.58
2015,3,10,27.05,27.61,26.35,75.35,4.65
2015,3,11,27.09,27.76,26.27,77.1,5.15
2015,3,12,27.49,28.43,26.65,76.58,6.35
2015,3,13,27.49,28.36,26.86,75.73,5.59
2015,3,14,27.22,27.63,26.48,74.54,3.36
2015,3,15,27.49,28.08,26.79,71.52,2.71
2015,3,16,27.22,27.45,26.8,77.25,3.37
2015,3,17,27.16,27.65,26.55,77.09,4.44
2015,3,18,27.17,27.79,26.45,78.65,5.14
2015,3,19,27.26,27.57,26.83,76.91,4.0
2015,3,20,27.27,27.47,26.84,79.1,3.38
2015,3,21,27.23,27.7,26.67,80.4,3.03
2015,3,22,27.28,27.76,26.64,82.31,2.69
2015,3,23,27.36,27.71,26.82,79.7,1.83
2015,3,24,27.91,28.51,27.28,79.03,4.69
2015,3,25,27.93,28.58,27.38,77.36,5.79
2015,3,26,27.97,28.84,27.03,74.7,5.72
2015,3,27,28.06,29.09,27.24,75.66,5.05
2015,3,28,28.21,29.1,27.54,74.74,5.75
2015,3,29,28.23,29.15,27.5,73.28,5.89
2015,3,30,28.36,29.25,27.53,73.79,5.79
2015,3,31,28.08,28.75,27.27,75.36,3.23
2015,4,1,27.44,28.2,26.59,82.54,2.9
2015,4,2,27.53,28.12,26.9,78.05,3.79
2015,4,3,27.37,27.85,26.63,76.96,2.35
2015,4,4,28.34,28.76,27.77,69.66,1.67
2015,4,5,28.32,28.94,27.59,73.97,2.25
2015,4,6,28.57,29.25,27.59,75.25,2.17
2015,4,7,28.81,29.53,27.93,75.44,2.1
2015,4,8,28.92,29.82,27.7,73.66,2.6
2015,4,9,29.53,30.39,28.74,69.9,4.78
2015,4,10,29.27,29.79,28.78,72.13,5.77
2015,4,11,28.55,29.35,27.68,76.0,3.37
2015,4,12,27.51,28.06,26.88,71.86,6.21
2015,4,13,26.94,27.22,26.63,72.02,5.47
2015,4,14,26.95,27.42,26.5,74.96,3.87
2015,4,15,27.49,28.23,26.62,75.2,2.08
2015,4,16,27.71,28.22,27.31,80.34,3.2
2015,4,17,27.57,28.08,27.0,76.37,4.15
2015,4,18,27.32,27.77,26.77,75.25,3.68
2015,4,19,27.55,28.01,26.86,76.18,3.37
2015,4,20,28.19,28.57,27.56,76.95,2.77
2015,4,21,28.99,29.61,28.32,75.01,4.25
2015,4,22,29.24,29.99,28.45,71.19,4.64
2015,4,23,29.8,30.75,28.87,64.15,2.81
2015,4,24,29.23,29.92,28.37,71.86,3.27
2015,4,25,28.26,28.66,27.61,76.14,2.94
2015,4,26,28.79,29.64,27.78,71.71,2.4
