-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: latitude  22.51   longitude 53.97 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 122.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M        MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M
2015,1,1,19.44,26.71,12.87,64.95,2.05
2015,1,2,20.36,27.24,14.35,53.51,1.57
2015,1,3,20.03,27.22,12.74,53.34,1.15
2015,1,4,20.65,27.39,13.71,39.24,1.4
2015,1,5,20.57,28.19,13.9,30.81,1.46
2015,1,6,20.18,28.86,12.93,32.2,1.58
2015,1,7,19.29,28.47,11.76,46.7,1.59
2015,1,8,20.07,28.82,13.48,36.26,1.63
2015,1,9,19.3,27.39,13.33,60.51,2.65
2015,1,10,19.72,27.71,12.34,52.86,1.95
2015,1,11,19.84,26.9,13.07,52.32,2.17
2015,1,12,17.58,22.68,14.07,57.97,4.7
2015,1,13,16.05,22.63,10.49,63.42,4.22
2015,1,14,17.23,24.97,11.66,60.61,3.4
2015,1,15,18.03,26.02,10.65,53.22,1.95
2015,1,16,18.35,25.82,10.1,43.06,1.34
2015,1,17,20.55,26.92,13.68,25.82,0.93
2015,1,18,20.71,27.04,13.54,34.73,1.45
2015,1,19,16.33,19.73,10.74,61.78,4.45
2015,1,20,13.43,21.08,7.32,41.22,3.74
2015,1,21,13.17,20.75,6.98,39.95,2.41
2015,1,22,14.66,22.58,7.87,55.87,2.15
2015,1,23,15.04,22.49,8.92,59.33,1.73
2015,1,24,15.03,22.83,8.01,53.72,1.33
2015,1,25,15.37,23.6,8.28,56.49,2.3
2015,1,26,17.14,25.57,10.65,58.46,2.5
2015,1,27,18.73,27.34,10.65,50.46,1.78
2015,1,28,19.51,28.32,10.61,41.2,1.65
2015,1,29,20.68,29.53,13.1,29.86,2.06
2015,1,30,20.64,30.07,12.85,35.9,2.29
2015,1,31,22.3,31.03,13.51,35.15,2.06
2015,2,1,22.21,31.01,15.09,29.67,2.3
2015,2,2,19.19,27.78,13.12,55.04,3.09
2015,2,3,18.05,27.21,10.12,52.26,1.52
2015,2,4,20.37,29.74,11.06,43.88,2.06
2015,2,5,21.17,29.64,12.7,31.35,2.06
2015,2,6,20.14,28.59,12.91,36.27,2.59
2015,2,7,18.28,27.3,11.2,48.95,2.57
2015,2,8,19.14,29.08,10.33,48.08,1.94
2015,2,9,21.42,30.72,13.63,29.16,4.39
2015,2,10,21.64,29.61,15.28,46.24,4.46
2015,2,11,22.41,31.19,15.57,44.04,4.05
2015,2,12,23.15,33.01,15.44,37.83,3.38
2015,2,13,23.8,33.25,15.46,31.18,2.2
2015,2,14,23.84,33.14,16.08,31.3,2.71
2015,2,15,23.64,33.04,15.67,33.23,2.27
2015,2,16,24.35,33.42,15.1,49.87,1.69
2015,2,17,26.24,35.22,17.29,23.72,1.75
2015,2,18,26.47,35.53,18.75,19.81,1.89
2015,2,19,25.15,35.69,16.37,15.06,2.92
2015,2,20,25.65,35.22,17.97,16.31,5.15
2015,2,21,23.87,31.92,17.59,38.51,5.28
2015,2,22,20.5,26.43,15.9,36.96,4.15
2015,2,23,16.31,22.79,10.39,37.71,4.22
2015,2,24,16.18,23.18,9.97,43.45,3.43
2015,2,25,17.85,26.06,10.33,51.02,1.86
2015,2,26,20.3,29.11,11.52,40.12,1.98
2015,2,27,19.39,26.05,14.23,46.8,4.78
2015,2,28,18.29,25.2,12.39,47.88,3.71
2015,3,1,18.24,26.57,9.48,36.6,1.61
2015,3,2,22.77,31.1,15.38,15.8,1.22
2015,3,3,22.96,32.76,14.84,17.98,2.54
2015,3,4,23.1,32.84,14.52,31.05,2.44
2015,3,5,23.04,32.06,15.51,36.77,3.74
2015,3,6,21.48,26.93,16.52,43.93,4.46
2015,3,7,21.63,27.69,16.93,39.67,3.25
2015,3,8,22.01,32.03,13.6,47.14,2.12
2015,3,9,23.32,32.22,14.4,43.9,1.79
2015,3,10,24.6,32.97,17.12,33.1,3.18
2015,3,11,23.95,31.42,17.26,28.88,3.15
2015,3,12,21.36,29.73,13.05,42.53,2.75
2015,3,13,21.26,30.11,12.78,42.24,3.2
2015,3,14,23.43,32.41,15.34,35.15,2.47
2015,3,15,25.26,34.12,16.72,29.1,2.34
2015,3,16,26.61,33.81,20.72,37.06,2.82
2015,3,17,26.85,34.49,19.98,41.5,4.96
2015,3,18,27.59,35.23,20.55,38.44,5.03
2015,3,19,28.3,35.96,21.25,34.07,3.96
2015,3,20,28.63,36.41,20.9,31.81,3.28
2015,3,21,28.66,35.69,22.68,28.34,3.75
