date;indicator;value
2009-01;Central region - Maximum - (GW);6.9
2009-01;Eastern region - Average (GW);7.2
2009-01;Western region - Minimum - (GW);3.8
2009-02;Central region - Average - (GW);5.1
2009-02;Central region - Minimum - (GW);3.8
2009-02;Eastern region - Maximum (GW);8.5
2009-02;Southern region - Minimum - (GW);1.4
2009-02;Western region - Minimum - (GW);3.7
2009-03;Southern region - Minimum - (GW);0.9
2009-04;Central region - Maximum - (GW);9.2
2009-04;Western region - Average - (GW);7.9
2009-05;Central region - Maximum - (GW);12.6
2009-05;Central region - Minimum - (GW);5.3
2009-05;Eastern region - Maximum (GW);11.8
2009-05;Eastern region - Minimum (GW);8.2
2009-05;Southern region - Average - (GW);2.6
2009-06;Southern region - Maximum - (GW);3.3
2009-06;Western region - Minimum - (GW);8.3
2009-07;Central region - Average - (GW);11.2
2009-07;Southern region - Average - (GW);2.7
2009-07;Southern region - Maximum - (GW);3.1
2009-07;Western region - Average - (GW);10.5
2009-08;Central region - Average - (GW);11.5
2009-08;Central region - Minimum - (GW);9.5
2009-08;Eastern region - Minimum (GW);10.8
2009-08;Western region - Average - (GW);11.4
2009-09;Southern region - Minimum - (GW);1.6
2009-09;Western region - Maximum - (GW);12.3
2009-10;Eastern region - Minimum (GW);8.1
2009-10;Southern region - Average - (GW);2.3
2009-10;Western region - Average - (GW);9.2
2009-10;Western region - Maximum - (GW);11.4
2009-11;Central region - Minimum - (GW);3.6
2009-11;Eastern region - Minimum (GW);6.9
2009-12;Eastern region - Minimum (GW);6.7
2009-12;Southern region - Average - (GW);2.0
2010-01;Central region - Average - (GW);5.2
2010-01;Central region - Minimum - (GW);3.9
2010-01;Eastern region - Maximum (GW);8.2
2010-01;Southern region - Maximum - (GW);2.4
2010-02;Southern region - Maximum - (GW);2.3
2010-02;Western region - Minimum - (GW);3.7
2010-03;Western region - Average - (GW);6.5
2010-04;Eastern region - Average (GW);8.9
2010-04;Eastern region - Maximum (GW);10.1
2010-04;Western region - Average - (GW);7.9
2010-05;Southern region - Average - (GW);2.6
2010-05;Western region - Maximum - (GW);11.8
2010-06;Central region - Maximum - (GW);14.0
2010-06;Southern region - Maximum - (GW);3.3
2010-07;Eastern region - Average (GW);11.7
2010-08;Central region - Minimum - (GW);9.5
2010-08;Western region - Maximum - (GW);13.2
2010-09;Central region - Average - (GW);10.0
2010-09;Central region - Minimum - (GW);7.2
2010-09;Southern region - Average - (GW);2.7
2010-09;Southern region - Minimum - (GW);1.6
2010-10;Central region - Average - (GW);8.1
2010-10;Eastern region - Maximum (GW);11.9
2010-11;Eastern region - Maximum (GW);9.9
